"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"culm_height",2,".",322.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"culm_height",3,".",165.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"second_tiller_height",1,".",171.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"second_tiller_height",2,".",214.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"second_tiller_height",3,".","."
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"tiller_number_per_plant",1,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"tiller_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_148","high_density",31,31015,41910,3,"tiller_number_per_plant",3,".",1.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"basal_circumference",1,".",17.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"basal_circumference",2,".",20.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"basal_circumference",3,".",28.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"branch_number_per_plant",1,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"branch_number_per_plant",2,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"branch_number_per_plant",3,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"culm_height",1,".",215.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"culm_height",2,".",229.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"culm_height",3,".",273.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"second_tiller_height",1,".",245.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"second_tiller_height",2,".",204.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"second_tiller_height",3,".",172.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"tiller_number_per_plant",1,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"tiller_number_per_plant",2,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_204","high_density",31,31016,41910,3,"tiller_number_per_plant",3,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"basal_circumference",1,".",38.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"basal_circumference",2,".",20.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"basal_circumference",3,".",40.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"branch_number_per_plant",1,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"branch_number_per_plant",2,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"branch_number_per_plant",3,".",10.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"culm_height",1,".",539.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"culm_height",2,".",590.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"culm_height",3,".",368.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"second_tiller_height",1,".",432.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"second_tiller_height",2,".",419.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"second_tiller_height",3,".",580.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"tiller_number_per_plant",1,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_002","high_density",31,31017,41910,3,"tiller_number_per_plant",2,".",3.000
