"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","date","DOY","subsample_num","trait","flag","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"Panicle_Length",".",57.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"tiller_number_per_plant",".",5.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"branch_number_per_plant",".",4.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"branch_number_per_plant_sqrt",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"tiller_number_per_plant_sqrt",".",2.236
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"leaf_number_per_plant_sqrt",".",4.796
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,1,"panicle_number_per_plant_sqrt",".",3.873
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"Panicle_number_per_plant",".",13.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"leaf_number_per_plant",".",24.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"culm_height",".",159.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"second_tiller_height",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"tiller_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"branch_number_per_plant",".",7.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"branch_number_per_plant_sqrt",".",2.646
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"tiller_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"leaf_number_per_plant_sqrt",".",4.899
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,2,"panicle_number_per_plant_sqrt",".",3.606
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,3,"Panicle_number_per_plant",".",32.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,3,"leaf_number_per_plant",".",40.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,4,"07/29/2013",210,3,"culm_height",".",221.000
